bitset_size	execution_time
0	4.09e-07
1	3.79e-07
2	2.07e-07
3	2.84e-07
4	2.93e-07
5	3.01e-07
6	5.01e-07
7	8.15e-07
8	1.2083e-06
9	2.55e-06
10	4.952e-06
11	9.744e-06
12	1.9556e-05
13	3.9067e-05
14	7.7745e-05
15	0.00015525
16	0.000310472
17	0.000559994
18	0.00121468
19	0.00224671
20	0.00457596
21	0.00980864
22	0.0182744
23	0.0346687
24	0.0717423
25	0.143327
26	0.276421
27	0.561703
28	1.13409
29	2.21862
30	4.38122
31	8.83687
32	17.8462
33	35.2872
34	70.5858
35	140.837
36	282.083
37	563.919
38	1127.13
39	2256.3
